summary,type,numViews,numLikes,numComments,numShares,engagementRate,numEmojies,numHashtags,numLinks,hashtags,labels,createdAt,link,,,,,,
An honor to have Sam Alt...,Image,45282,788,15,29,0.018373747,4,6,0,"AI,aitechnology,NextBestYou,OpenAITour,ChatGPT,DigitalSkills",,5/23/2023 18:04,https://www.linkedin.com/feed/update/urn:li:activity:7066797763224571905,,,,,,
Cabify was Spain's first...,Video (native),29436,330,2,8,0.011550482,3,3,1,"NextBestYou,BusinessWithPurpose,Entrepreneurship",,11/8/2022 15:32,https://www.linkedin.com/feed/update/urn:li:activity:6995754856443441152,,,,,,
We have a had an excitin...,Image,15836,291,4,7,0.019070472,5,1,0,NextBestYou,,10/6/2022 16:30,https://www.linkedin.com/feed/update/urn:li:activity:6983795745984253952,,,,,,
I had the chance to talk...,Article,14682,193,6,1,0.013622122,4,2,1,NextBestYou,,5/31/2023 16:50,https://www.linkedin.com/feed/update/urn:li:activity:7069673884257574912,,,,,,
CONGRATULATIONS to our 2...,Image,13687,260,10,11,0.02053043,5,2,0,"NewWorldofWork,NextBestYou",,5/29/2023 17:21,https://www.linkedin.com/feed/update/urn:li:activity:7068962246936174592,,,,,,
2 takeaways from my conv...,Image,13567,150,2,2,0.011351072,4,3,1,"BusinessWithPurpose,Education,NextBestYou",,10/11/2022 18:15,https://www.linkedin.com/feed/update/urn:li:activity:6985634028628381696,,,,,,
Congratulations to our M...,Image,11973,269,7,1,0.023135388,4,2,0,"NextBestYou,IEAlumni",,12/16/2022 15:21,https://www.linkedin.com/feed/update/urn:li:activity:7009522786461233152,,,,,,
I'm heading to Mexico Ci...,Article,11659,246,4,4,0.021785745,5,3,1,"PositiveLeadership,NextBestYou,GlobalExecutiveMBA",,3/4/2023 12:46,https://www.linkedin.com/feed/update/urn:li:activity:7037739363895525376,,,,,,
"The ""Project Economy"" ha...",Video (native),11489,110,9,7,0.010967012,9,2,1,"NextBestYou,ProjectManagement",,3/16/2023 17:12,https://www.linkedin.com/feed/update/urn:li:activity:7042147515495821312,,,,,,
Taking a few hours on my...,Image,11051,198,8,0,0.018640847,1,3,0,"WellBeing,NextBestYou,mindfulness",,11/5/2022 13:09,https://www.linkedin.com/feed/update/urn:li:activity:6994631789008809984,,,,,,
What if...400+ business ...,Image,10422,274,25,12,0.029840722,0,3,0,"EFMDDeans,BusinessWithPurpose,BusinessSchool",,2/1/2023 18:45,https://www.linkedin.com/feed/update/urn:li:activity:7026606495475580928,,,,,,
🐶🐱Lesson from our animal...,Image,9765,162,8,1,0.017511521,2,3,0,"mindfulness,wellbeing,nextbestyou",,2/4/2023 11:39,https://www.linkedin.com/feed/update/urn:li:activity:7027586332143042560,,,,,,
We are all in the AGE of...,Image,8614,136,3,4,0.016600882,3,3,0,"NextBestYou,BusinessWithPurpose,PositiveImpact",,10/21/2022 15:17,https://www.linkedin.com/feed/update/urn:li:activity:6989213116421029888,,,,,,
Dear January 2023 MBA & ...,Image,8503,167,1,2,0.019992944,10,1,0,NextBestYou,,1/17/2023 16:47,https://www.linkedin.com/feed/update/urn:li:activity:7021140986458181632,,,,,,
We are kicking off our e...,Image,8464,196,2,0,0.023393195,4,2,0,"WeAreIE,NextBestYou",,12/12/2022 17:20,https://www.linkedin.com/feed/update/urn:li:activity:7008103362650869760,,,,,,
